調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油
2024/3/6,,,,
2024/3/4,29.5,31,33,27.1
2024/2/26,29.4,30.9,32.9,26.9
2024/2/19,29.4,30.9,32.9,26.9
2024/2/12,29,30.5,32.5,27
2024/2/6,,,,
2024/2/5,29,30.5,32.5,27.4
2024/1/29,29,30.5,32.5,27.5
2024/1/22,28.9,30.4,32.4,27.7
2024/1/15,29,30.5,32.5,27.8
2024/1/8,29.2,30.7,32.7,27.8
2024/1/6,,,,
2024/1/3,,,,
2024/1/1,29.5,31,33,27.9
2023/12/26,,,,
2023/12/25,29.6,31.1,33.1,28
2023/12/19,,,,
2023/12/18,29.2,30.7,32.7,27.9
2023/12/12,,,,
2023/12/11,29.5,31,33,27.6
2023/12/6,,,,
2023/12/5,,,,
2023/12/4,29.5,31,33,27
2023/11/27,29.5,31,33,27.1
2023/11/21,,,,
2023/11/20,29.5,31,33,27.1
2023/11/14,,,,
2023/11/13,29.6,31.1,33.1,27.1
2023/11/7,,,,
2023/11/6,29.7,31.2,33.2,27.2
2023/10/31,,,,
2023/10/30,29.7,31.2,33.2,27.3
2023/10/24,,,,
2023/10/23,29.9,31.4,33.4,27.5
2023/10/17,,,,
2023/10/16,30.2,31.7,33.7,27.8
2023/10/12,,,,
2023/10/9,30.7,32.2,34.2,28.3
2023/10/6,,,,
2023/10/2,30.8,32.3,34.3,28.4
2023/9/25,31.1,32.6,34.6,28.6
2023/9/19,,,,
2023/9/18,31.4,32.9,34.9,29
2023/9/12,,,,
2023/9/11,31.6,33.1,35.1,29.1
2023/9/6,,,,
2023/9/4,31.2,32.7,34.7,29.3
2023/8/29,,,,
2023/8/28,31.1,32.6,34.6,29.2
2023/8/21,31.2,32.7,34.7,28.8
2023/8/15,,,,
2023/8/14,31.1,32.6,34.6,28.7
2023/8/8,,,,
2023/8/7,30.5,32,34,28.2
2023/8/6,,,,
2023/8/1,,,,
2023/7/31,30.3,31.8,33.8,28
2023/7/24,29.8,31.3,33.3,28.1
2023/7/18,,,,
2023/7/17,29.5,31,33,27.7
2023/7/10,29.1,30.6,32.6,27.3
2023/7/6,,,,
2023/7/3,28.8,30.3,32.3,27.1
2023/6/27,,,,
2023/6/26,28.9,30.4,32.4,26.9
2023/6/19,28.5,30,32,27.2
2023/6/12,28.8,30.3,32.3,27
2023/6/6,,,,
2023/6/5,28.5,30,32,27
2023/5/29,28.9,30.4,32.4,27.1
2023/5/22,28.6,30.1,32.1,27.4
2023/5/15,28.8,30.3,32.3,27.6
2023/5/9,,,,
2023/5/8,28.6,30.1,32.1,27.3
2023/5/6,,,,
2023/5/3,,,,
2023/5/1,29.6,31.1,33.1,27.5
2023/4/25,,,,
2023/4/24,29.6,31.1,33.1,27.4
2023/4/17,29.8,31.3,33.3,27.6
2023/4/11,,,,
2023/4/10,29.5,31,33,27.8
2023/4/6,,,,
2023/4/3,28.9,30.4,32.4,27.7
2023/3/28,,,,
2023/3/27,28.4,29.9,31.9,27.1
2023/3/21,,,,
2023/3/20,28.9,30.4,32.4,27.6
2023/3/13,29.2,30.7,32.7,27.1
2023/3/6,28.9,30.4,32.4,27.1
2023/3/2,,,,
2023/2/27,29,30.5,32.5,27.3
2023/2/20,29.1,30.6,32.6,27.4
2023/2/14,,,,
2023/2/13,29.2,30.7,32.7,27.5
2023/2/6,29.5,31,33,27.9
2023/1/30,29.6,31.1,33.1,28.2
2023/1/23,29.1,30.6,32.6,27.8
2023/1/16,29.1,30.6,32.6,27.8
2023/1/9,29.1,30.6,32.6,27.8
2023/1/6,,,,
2023/1/2,29.5,31,33,27.8
2022/12/26,29.1,30.6,32.6,27.9
2022/12/19,29,30.5,32.5,27.3
2022/12/13,,,,
2022/12/12,28.9,30.4,32.4,27.3
2022/12/6,,,,
2022/12/5,29.3,30.8,32.8,27.1
2022/11/29,,,,
2022/11/28,29.1,30.6,32.6,26.9
2022/11/22,,,,
2022/11/21,29.2,30.7,32.7,27
2022/11/15,,,,
2022/11/14,29,30.5,32.5,26.8
2022/11/7,29.1,30.6,32.6,26.8
2022/11/6,,,,
2022/10/31,29.1,30.6,32.6,26.9
2022/10/24,28.8,30.3,32.3,26.6
2022/10/18,,,,
2022/10/17,28.9,30.4,32.4,26.7
2022/10/12,,,,
2022/10/10,29.2,30.7,32.7,26.9
2022/10/6,,,,
2022/10/4,,,,
2022/10/3,29.3,30.8,32.8,27.1
2022/9/27,,,,
2022/9/26,29.2,30.7,32.7,26.9
2022/9/20,,,,
2022/9/19,29.2,30.7,32.7,26.9
2022/9/13,,,,
2022/9/12,29,30.5,32.5,26.8
2022/9/6,,,,
2022/9/5,29.1,30.6,32.6,26.8
2022/8/30,,,,
2022/8/29,29.2,30.7,32.7,27
2022/8/22,29.5,31,33,27.4
2022/8/15,29.6,31.1,33.1,27.4
2022/8/9,,,,
2022/8/8,29.8,31.3,33.3,27.6
2022/8/6,,,,
2022/8/1,29.5,31,33,27.3
2022/7/26,,,,
2022/7/25,29.3,30.8,32.8,27.1
2022/7/19,,,,
2022/7/18,29.5,31,33,27.2
2022/7/12,,,,
2022/7/11,29.8,31.3,33.3,27.6
2022/7/6,,,,
2022/7/5,,,,
2022/7/4,30,31.5,33.5,27.8
2022/6/27,30,31.5,33.5,27.7
2022/6/21,,,,
2022/6/20,29.6,31.1,33.1,27.4
2022/6/14,,,,
2022/6/13,29.5,31,33,27.3
2022/6/7,,,,
2022/6/6,29.5,31,33,27.3
2022/5/31,,,,
2022/5/30,30.1,31.6,33.6,27.9
2022/5/24,,,,
2022/5/23,30.2,31.7,33.7,28
2022/5/17,,,,
2022/5/16,30.2,31.7,33.7,28
2022/5/10,,,,
2022/5/9,30.3,31.8,33.8,28.1
2022/5/6,,,,
2022/5/2,30.4,31.9,33.9,28.2
2022/4/26,,,,
2022/4/25,30.5,32,34,28.3
2022/4/18,30.8,32.3,34.3,28.6
2022/4/12,,,,
2022/4/11,31,32.5,34.5,28.9
2022/4/7,,,,
2022/4/6,,,,
2022/4/4,31,32.5,34.5,28.8
2022/3/29,,,,
2022/3/28,31.2,32.7,34.7,29.1
2022/3/22,,,,
2022/3/21,31.5,33,35,29.4
2022/3/15,,,,
2022/3/14,31.6,33.1,35.1,29.4
2022/3/8,,,,
2022/3/7,31.3,32.8,34.8,29.1
2022/3/6,,,,
2022/3/2,,,,
2022/2/28,30.7,32.2,34.2,28.5
2022/2/22,,,,
2022/2/21,30.2,31.7,33.7,28.1
2022/2/15,,,,
2022/2/14,29.9,31.4,33.4,27.5
2022/2/8,,,,
2022/2/7,28.7,30.2,32.2,26
2022/1/31,29.8,31.3,33.3,26.5
2022/1/25,,,,
2022/1/24,29.8,31.3,33.3,26.5
2022/1/18,,,,
2022/1/17,29.2,30.7,32.7,26.3
2022/1/11,,,,
2022/1/10,28.6,30.1,32.1,26.3
2022/1/6,,,,
2022/1/4,,,,
2022/1/3,28.4,29.9,31.9,26.4
2021/12/28,,,,
2021/12/27,27.5,29,31,25.5
2021/12/21,,,,
2021/12/20,27.7,29.2,31.2,25.7
2021/12/14,,,,
2021/12/13,27.6,29.1,31.1,25.6
2021/12/7,,,,
